outbound_miles,base_std_hrs,base_std_billable_amt
623,20.5,2302
624,20.5,2302
625,20.5,2302
626,20.5,2302
627,20.5,2302
628,20.5,2302
629,20.5,2302
630,20.5,2302
631,20.5,2302
632,20.5,2302
633,21,2358
634,21,2358
635,21,2358
636,21,2358
637,21,2358
638,21,2358
639,21,2358
640,21,2358
641,21,2358
642,21,2358
643,21,2358
644,21,2358
645,21,2358
646,21,2358
647,21,2358
648,21,2358
649,21.5,2414
650,21.5,2414
651,21.5,2414
652,21.5,2414
653,21.5,2414
654,21.5,2414
655,21.5,2414
656,21.5,2414
657,21.5,2414
658,21.5,2414
659,21.5,2414
660,21.5,2414
661,21.5,2414
662,21.5,2414
663,21.5,2414
664,21.5,2414
665,22,2470
666,22,2470
667,22,2470
668,22,2470
669,22,2470
670,22,2470
671,22,2470
672,22,2470
673,22,2470
674,22,2470
675,22,2470
676,22,2470
677,22,2470
678,22,2470
679,22,2470
680,22,2470
681,22.5,2526
682,22.5,2526
683,22.5,2526
684,22.5,2526
685,22.5,2526
686,22.5,2526
687,22.5,2526
688,22.5,2526
689,22.5,2526
690,22.5,2526
691,22.5,2526
692,22.5,2526
693,22.5,2526
694,22.5,2526
695,22.5,2526
696,22.5,2526
