outbound_miles,base_std_hrs,base_std_billable_amt
540,19,2133
541,19,2133
542,19,2133
543,19,2133
544,19,2133
545,19,2133
546,19,2133
547,19,2133
548,19,2133
549,19,2133
550,19,2133
551,19,2133
552,19,2133
553,19.5,2190
554,19.5,2190
555,19.5,2190
556,19.5,2190
557,19.5,2190
558,19.5,2190
559,19.5,2190
560,19.5,2190
561,19.5,2190
562,19.5,2190
563,19.5,2190
564,19.5,2190
565,19.5,2190
566,19.5,2190
567,19.5,2190
568,19.5,2190
569,20,2246
570,20,2246
571,20,2246
572,20,2246
573,20,2246
574,20,2246
575,20,2246
576,20,2246
577,20,2246
578,20,2246
579,20,2246
580,20,2246
581,20,2246
582,20,2246
583,20,2246
584,20,2246
585,20.5,2302
586,20.5,2302
587,20.5,2302
588,20.5,2302
589,20.5,2302
590,20.5,2302
591,20.5,2302
592,20.5,2302
593,20.5,2302
594,20.5,2302
595,20.5,2302
596,20.5,2302
597,20.5,2302
598,20.5,2302
599,20.5,2302
600,20.5,2302
601,21,2358
602,21,2358
603,21,2358
604,21,2358
605,21,2358
606,21,2358
607,21,2358
608,21,2358
609,21,2358
610,21,2358
611,21,2358
612,21,2358
613,21,2358
614,21,2358
615,21,2358
616,21,2358
617,21.5,2414
618,21.5,2414
619,21.5,2414
620,21.5,2414
621,21.5,2414
622,21.5,2414
623,21.5,2414
624,21.5,2414
625,21.5,2414
626,21.5,2414
627,21.5,2414
628,21.5,2414
629,21.5,2414
630,21.5,2414
631,21.5,2414
632,21.5,2414
633,22,2470
634,22,2470
635,22,2470
636,22,2470
637,22,2470
638,22,2470
639,22,2470
640,22,2470
641,22,2470
642,22,2470
643,22,2470
644,22,2470
645,22,2470
646,22,2470
647,22,2470
648,22,2470
649,22.5,2526
650,22.5,2526
651,22.5,2526
652,22.5,2526
653,22.5,2526
654,22.5,2526
655,22.5,2526
656,22.5,2526
657,22.5,2526
658,22.5,2526
659,22.5,2526
660,22.5,2526
661,22.5,2526
662,22.5,2526
663,22.5,2526
664,22.5,2526
665,23,2582
666,23,2582
667,23,2582
668,23,2582
669,23,2582
670,23,2582
671,23,2582
672,23,2582
673,23,2582
674,23,2582
675,23,2582
676,23,2582
677,23,2582
678,23,2582
679,23,2582
680,23,2582
681,23.5,2639
682,23.5,2639
683,23.5,2639
684,23.5,2639
685,23.5,2639
686,23.5,2639
687,23.5,2639
688,23.5,2639
689,23.5,2639
690,23.5,2639
691,23.5,2639
692,23.5,2639
693,23.5,2639
694,23.5,2639
695,23.5,2639
696,23.5,2639
